OID_,SITEADDID,ADDPTKEY,PREADDRNUM,ADDRNUM,ADDRNUMSUF,UNITTYPE,UNITID,STREET_PREMOD,STREET_PREFIX,STREET_PRE_TYPE,STREET_NAME,STREET_TYPE,STREET_SUFFIX,FULLNAME,FULLADDR,PLACENAME,FIPS,MUNICIPALITY,ESN,PSAP,MSAG_COMMUNITY,USNGCOORD,LAT,LONG,ADDRCLASS,POINTTYPE,CAPTUREMETH,STATUS,LASTUPDATE,PO_NAME,STATE,ZIP_5
3419570,51157000006609.000000000000000,113292283222,,15,,,,,,,CHILTON LANE,,,CHILTON LANE,15 CHILTON LANE,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4401469981,38.544808405000019,-78.200128263999943,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419574,51157000006613.000000000000000,111083282859,,40,,,,,,,FIR HILL LANE,,,FIR HILL LANE,40 FIR HILL LANE,,51157,Rappahannock County,2321,7189,SPERRYVILLE,17SQC4181069583,38.541820958000073,-78.225525986999969,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419575,51157000006614.000000000000000,111200282865,,50,,,,,,,FIR HILL LANE,,,FIR HILL LANE,50 FIR HILL LANE,,51157,Rappahannock County,2321,7189,SPERRYVILLE,17SQC4192769590,38.541857006000043,-78.224185845999955,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419576,51157000006615.000000000000000,111419282721,,32,,,,,,,POPHAMS FORD ROAD,,,POPHAMS FORD ROAD,32 POPHAMS FORD ROAD,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4214869450,38.540532469000020,-78.221696850999933,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419577,51157000006616.000000000000000,110767282219,,194,,,,,,,POPHAMS FORD ROAD,,,POPHAMS FORD ROAD,194 POPHAMS FORD ROAD,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4150468936,38.536086170000033,-78.229251550999948,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419578,51157000006617.000000000000000,111634282446,,54,,,,,,,POPHAMS FORD ROAD,,,POPHAMS FORD ROAD,54 POPHAMS FORD ROAD,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4236769178,38.538029445000063,-78.219275326999934,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419579,51157000006618.000000000000000,110603282319,,210,,,,,,,POPHAMS FORD ROAD,,,POPHAMS FORD ROAD,210 POPHAMS FORD ROAD,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4133869034,38.537014260000028,-78.231121503999987,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419580,51157000006619.000000000000000,112077281925,,41,,,,,,,POPHAMS FORD ROAD,,,POPHAMS FORD ROAD,41 POPHAMS FORD ROAD,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4281968664,38.533278280000040,-78.214277159999938,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419581,51157000006620.000000000000000,111136282380,,124,,,,,,,POPHAMS FORD ROAD,,,POPHAMS FORD ROAD,124 POPHAMS FORD ROAD,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4187069103,38.537490996000031,-78.225002827999958,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
3419582,51157000006621.000000000000000,112436282886,,20,,,,,,,ROCKY LEDGE LANE,,,ROCKY LEDGE LANE,20 ROCKY LEDGE LANE,,51157,Rappahannock County,2325,7189,SPERRYVILLE,17SQC4316269631,38.541887678000080,-78.210009037999953,,,,,2/10/2025 0:00:00,SPERRYVILLE,VA,22740
